normalization,normalization_label,level,metric,point_estimate,ci_low,ci_high,source
REINHARD,Reinhard,macro,fnr,0.2965150297025751,0.23309730712266577,0.3636007514912681,ENSEMBLE_METRICS_11_05_2026_15_16_10.json
REINHARD,Reinhard,rule6,dice_pos_only,0.7531397376861969,0.6741308828849837,0.8218608991387671,ENSEMBLE_METRICS_11_05_2026_15_16_10.json
REINHARD,Reinhard,rule6,neg_clean_rate,0.1951219512195122,0.07894736842105263,0.3235294117647059,ENSEMBLE_METRICS_11_05_2026_15_16_10.json
REINHARD,Reinhard,auc,auc,0.9533801050041085,,,ENSEMBLE_METRICS_11_05_2026_15_16_10.json
RUIFROK,Ruifrok,micro,dice,0.8288875621432226,0.7796240473415188,0.8723385058226445,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,micro,iou,0.7077779514152784,0.6388392410287851,0.7735818863602919,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,micro,tpr,0.8102406262710546,0.7332741531311978,0.8924491723753234,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,micro,tnr,0.9667028831996037,0.9514051294727922,0.9775752392550087,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,micro,precision,0.8484129997559627,0.7586040361213323,0.9108586038817925,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,micro,accuracy,0.9374451581758615,0.9052929796508914,0.9610947292771597,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,micro,fpr,0.03329711680039628,0.022424760744991362,0.04859487052720772,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,micro,fnr,0.1897593737289453,0.10755082762467658,0.26672584686880224,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,dice,0.4105198169303974,0.31504106694866907,0.5085902259404684,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,iou,0.3679333915025668,0.2802158840316498,0.4597560186765858,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,tpr,0.8487769365361806,0.8062307085902402,0.8886608076144511,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,tnr,0.9333009866851049,0.9062259713590821,0.9567717237187047,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,precision,0.4067455123294049,0.30717498827309464,0.5106218452338122,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,accuracy,0.9194672995968663,0.8928174950771375,0.942922054206321,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,fpr,0.06669901331489511,0.043228276281295254,0.09377402864091794,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,macro,fnr,0.1512230634638193,0.1113391923855489,0.19376929140975976,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,rule6,dice_pos_only,0.8008175141447736,0.7251523609092961,0.8671738525872309,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,rule6,neg_clean_rate,0.04878048780487805,0.0,0.125,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
RUIFROK,Ruifrok,auc,auc,0.9579982593330221,,,ENSEMBLE_METRICS_12_05_2026_13_11_34.json
